rank,seed_name,link,torrent_name,price,reviews,life,size,seeders,downloaders,finished_num,updowner
1,[欧美][十诫][Dekalog.1989.REPACK.720p.BluRay.AAC.1.0.x264-ZQ][全10集][MKV],https://bt.byr.cn/download.php?id=291609,[BYRBT].Dekalog.1989.REPACK.720p.BluRay.AAC.1.0.x264-ZQ.torrent,1,2,1天2时,53.88GB,211,33,284,NORMALX
2,[连载][玄机科技][斗罗大陆][Douro Mainland][75][1080p][WEB][MP4][2018.01][国产],https://bt.byr.cn/download.php?id=291665,[BYRBT].Douro.Mainland.E75.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,3时27分,537.60MB,187,2,263,发布者匿名
3,[连载][玄机科技][天行九歌][Tian.Xing.Jiu.Ge][88][1080p][WEB][MP4][2016-03-10][国产],https://bt.byr.cn/download.php?id=291608,[BYRBT].Tian.Xing.Jiu.Ge.E88.1080p.WEB-DL.H265.AAC-NM.mp4.torrent,2,0,1天3时,443.23MB,194,1,387,发布者匿名
4,[合集][历史频道][宇宙][The Universe][S04][1080p][Blu-ray][M2TS][白自在][科学],https://bt.byr.cn/download.php?id=291579,[BYRBT].宇宙系列第4季.torrent,3,0,2天6时,118.57GB,155,16,256,发布者匿名
5,[Windows][办公软件][Mathtype][7.4.2.480][官方简体][安装包],https://bt.byr.cn/download.php?id=291563,[BYRBT].mathtype.zip.torrent,2,3,2天18时,40.78MB,107,0,278,LeeyafeiNeuq
6,"[我们这样的人,天上掉下个姐姐,平凡人生(台)][People.Like.Us.2012.720p.BluRay.x264-O2STK][剧情][北美]",https://bt.byr.cn/download.php?id=291562,[BYRBT].People.Like.Us.2012.720p.BluRay.x264-O2STK.mkv.torrent,2,0,2天18时,10.03GB,125,1,273,hujingyu216
7,[连载][小疯映画][伍六七之最强发型师][Scissor Seven][01-02][1080p][WEB][MP4][2019.10][国产],https://bt.byr.cn/download.php?id=291557,[BYRBT].Scissor.Seven.2019.Complete.WEB-DL.1080P.H264.AAC-kfbyhyq.torrent,2,2,2天20时,654.18MB,102,12,248,kfbyhyq
8,"[诛仙 Ⅰ][Jade.Dynasty.2019.1080p.WEB-DL.H264.AAC-NM][爱情,奇幻,古装][华语]",https://bt.byr.cn/download.php?id=291516,[BYRBT].Jade.Dynasty.2019.1080p.WEB-DL.H264.AAC-NM.mp4.torrent,2,9,3天14时,3.61GB,250,2,698,发布者匿名
9,[PC][英雄联盟体验服][无限火力开启！！！][RPG][20191022][官方简体][安装包],https://bt.byr.cn/download.php?id=291483,[BYRBT].LOL_V3.4.5.9_T_FULL.torrent,2,18,4天2时,9.81GB,163,1,480,发布者匿名
10,[欧美][守望者 第一季][Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS][S01E01][MKV],https://bt.byr.cn/download.php?id=291453,[BYRBT].Watchmen.S01E01.Its.Summer.and.Were.Running.Out.of.Ice.1080p.AMZN.WEB-DL.DDP5.1.H.264-KiNGS.mkv.torrent,1,1,4天19时,3.72GB,177,1,468,发布者匿名
